team_id,season,team_name,head_coach,offensive_coordinator,starting_qb,prior_year_offensive_plays,prior_year_pass_attempts,prior_year_rush_attempts,prior_year_pass_rate,prior_year_rush_rate,prior_year_points_scored,prior_year_offensive_tds,projected_offensive_plays,projected_pass_rate,projected_rush_rate,projected_pass_attempts,projected_rush_attempts,projected_passing_yards,projected_passing_tds,projected_interceptions,projected_rushing_yards,projected_rushing_tds,offense_change_score,defense_change_score,pace_change_score,pass_rate_change_score,rush_rate_change_score,pace_adjustment_note,pass_rush_ratio_note,coaching_note,defense_environment_note,general_projection_note
CIN,2026,Cincinnati Bengals,Zac Taylor,Dan Pitcher,Joe Burrow,1085,640,381,0.627,0.373,472,51,1085,0.606,0.394,658,427,4514,35,16,1810,14,2,4,0,-1,1,Stable pace assumption,Slightly less forced passing than prior shootout environment,Continuity for Burrow core,Defense modeled as modestly improved,First MVP baseline for Bengals only
GB,2026,Green Bay Packers,Matt LaFleur,Adam Stenavich,Jordan Love,1044,489,492,0.498,0.502,391,44,1049,0.51,0.49,535,514,4118,27,9,2156,18,0,-2,0,2,0,Stable LaFleur pace with modest pass-rate push,Love efficiency and WR turnover point toward more passing without abandoning Jacobs,Offensive staff continuity with Luke Getsy back around QB room,Defense slides toward average while Parsons rehabs ACL and front-seven depth changes,Packers baseline built from 2025 official stats plus 2026 roster/news cross-checks.
ARI,2026,Arizona Cardinals,Mike LaFleur,Nathaniel Hackett,Jacoby Brissett,1107,649,366,0.639,0.361,355,38,1108,0.595,0.405,659,449,3920,24,12,2075,16,0,1,0,-4,4,New staff keeps tempo near prior but attempts to steady offense,LaFleur/Hackett and Jeremiyah Love should pull pass rate down from injury-driven 2025 spike,New head coach and OC reset offensive structure after Drew Petzing/Jonathan Gannon exits,Defense remains below average; negative script can still lift pass volume,Cardinals baseline built from 2025 official stats plus 2026 staff/QB/RB roster changes.
ATL,2026,Atlanta Falcons,Kevin Stefanski,Tommy Rees,Tua Tagovailoa / Michael Penix Jr.,1087,545,477,0.533,0.467,353,36,1095,0.524,0.476,574,521,3820,24,11,2260,18,1,2,0,0,1,Stefanski/Rees offense keeps total play volume near 2025,Run-friendly staff plus Bijan keeps rush share strong despite Tua addition,Kevin Stefanski and Tommy Rees reset offense with Bill Callahan supporting OL/run game,Defense roughly average after retaining Jeff Ulbrich and adding front-seven help,Falcons baseline built from 2025 official stats plus 2026 staff/QB/free-agency changes.
BAL,2026,Baltimore Ravens,Jesse Minter,Declan Doyle,Lamar Jackson,1008,422,507,0.454,0.546,424,46,1015,0.455,0.545,462,553,3450,23,10,2790,25,0,3,0,0,1,New staff keeps deliberate low-volume identity near 2025,Run-first Lamar/Henry foundation remains but some pass lift from game-script and coordinator reset,Major staff turnover from Harbaugh/Monken to Minter/Doyle creates scheme uncertainty,Defense improves with Trey Hendrickson and Weaver/Minter influence which can preserve rushing scripts,Ravens baseline built from 2025 official stats plus 2026 staff/roster changes.
BUF,2026,Buffalo Bills,Joe Brady,Pete Carmichael,Josh Allen,1103,495,547,0.475,0.525,481,60,1116,0.5,0.5,558,558,4133,31,10,2590,28,1,-1,1,1,0,Brady promotion keeps offensive identity but new HC/OC split trims some 2025 play total,Bills remain run-dangerous with Allen/Cook while DJ Moore addition raises pass-game ceiling,Joe Brady continuity with Pete Carmichael as OC keeps system stable and Moore reunites with Brady,Jim Leonhard 3-4 transition and defensive FA churn add uncertainty despite strong 2025 defense,Bills baseline built from 2025 official stats plus 2026 coaching/roster changes including DJ Moore trade.
CAR,2026,Carolina Panthers,Dave Canales,Brad Idzik,Bryce Young,1011,515,461,0.528,0.472,311,38,1022,0.529,0.471,541,481,3500,23,10,2020,15,1,1,1,1,0,Canales/Idzik continuity with Idzik calling plays nudges volume slightly up,McMillan/Legette/Coker give Bryce Young more reason to throw but run game remains important,Idzik play-calling is new but within same Canales system,Defense improved from 2024 disaster and remained mid-pack in 2025; neutral scripts plausible,Panthers baseline built from 2025 official stats plus 2026 coaching/roster continuity.
CHI,2026,Chicago Bears,Ben Johnson,Press Taylor,Caleb Williams,1142,574,505,0.532,0.468,441,47,1125,0.535,0.465,602,523,4034,28,9,2440,18,1,0,-1,0,0,Ben Johnson continuity keeps high play volume with slight regression from 2025,Balanced offense stays near 2025 split but DJ Moore trade pushes more work to Odunze/Loveland/Burden,Press Taylor promotion keeps system continuity after Doyle departure,Defense remains average-to-below average by yardage despite Dennis Allen continuity; neutral game scripts,Bears baseline built from 2025 official stats plus 2026 staff/roster continuity and DJ Moore trade to Buffalo.
CLE,2026,Cleveland Browns,Todd Monken,Travis Switzer,Shedeur Sanders / Deshaun Watson,1057,558,421,0.57,0.43,268,26,1068,0.525,0.475,561,507,3439,21,15,2101,14,1,1,0,-3,3,Monken/Switzer staff keeps play volume near 2025 while trying to stabilize a young offense,Run-game coordinator hire and improved OL pull pass rate down from 2025 catch-up mode,New offensive staff raises ceiling but QB competition keeps baseline conservative,Defense has Myles Garrett and young pieces but 2025 yardage allowed keeps script neutral,Browns baseline uses split-QB projection because Sanders/Watson/Gabriel/Green room is unsettled.
DAL,2026,Dallas Cowboys,Brian Schottenheimer,Klayton Adams,Dak Prescott,1162,624,465,0.573,0.427,393,49,1125,0.545,0.455,613,512,4350,30,13,2174,17,2,3,-1,-2,2,Regress extreme 2025 play volume slightly while keeping Dallas above-average,Healthier Lamb plus defensive rebound pulls Dallas away from a 2025 pass-funnel shape,Schottenheimer and Adams continuity supports offensive stability,Christian Parker and defense-heavy draft should improve poor 2025 defense enough for neutral scripts,Cowboys baseline built from elite 2025 passing production but adjusts for Lamb health and less forced passing.
