team_id,season,prior_year_points_allowed_rank,prior_year_yards_allowed_rank,prior_year_defensive_efficiency_rank,projected_defense_quality,projected_game_script_bias,defense_change_score,defense_pace_impact,pass_volume_impact,rush_volume_impact,shootout_impact,analyst_note
CIN,2026,25,26,24,below_average,neutral,4,-0.2,-0.2,0.2,-0.2,Modest defensive improvement reduces forced passing slightly but does not erase pass-heavy offensive identity.
GB,2026,11,12,12,average,neutral,-2,0.1,0.1,-0.1,0.1,2025 defense was above average by points/yards allowed; 2026 projection is softened by Micah Parsons ACL rehab and defensive-front churn.
ARI,2026,29,27,28,below_average,negative,1,0.1,0.2,-0.1,0.1,2025 defense allowed bottom-tier points/yards; free-agency additions help some but negative script remains likely.
ATL,2026,19,15,15,average,neutral,2,0,0,0,0,2025 defense was mid-pack by points and yards; Jeff Ulbrich continuity plus edge/linebacker additions keep projection near average.
BAL,2026,18,24,20,above_average,positive,3,-0.1,-0.1,0.1,-0.1,2025 scoring defense was mid-pack but roster adds Trey Hendrickson and new defensive staff should help; positive script supports run volume.
BUF,2026,12,7,10,above_average,positive,-1,0,-0.1,0.1,-0.1,2025 defense ranked well by yards and points allowed; Jim Leonhard transition and front-seven turnover add some uncertainty but positive scripts remain likely.
CAR,2026,15,16,16,average,neutral,1,0,0,0,0,2025 defense was around league average after major improvement; continuity under Ejiro Evero supports neutral game-script baseline.
CHI,2026,23,29,26,below_average,neutral,0,0,0.1,-0.1,0.1,2025 defense allowed high yardage despite winning season; Dennis Allen continuity helps but pass-volume pressure can remain.
CLE,2026,16,25,20,average,neutral,1,0,0.1,-0.1,0,Garrett/Schwesinger core and Mike Rutenberg hire support average projection; 2025 yardage allowed prevents a strong positive script assumption.
DAL,2026,30,31,30,average,neutral,3,-0.1,-0.1,0.1,-0.1,2025 defense allowed heavy yardage and touchdowns; Christian Parker plus Caleb Downs/Malachi Lawrence draft investment supports rebound toward average.
DEN,2026,3,4,4,elite,positive,1,-0.1,-0.1,0.1,-0.1,2025 defense ranked near the top of the league by points and yardage allowed; Vance Joseph continuity keeps positive scripts likely.
DET,2026,22,27,24,average,neutral,2,0,0.1,-0.1,0,2025 defense allowed too much yardage but Hutchinson return and Derrick Moore addition support rebound toward average.
HOU,2026,8,5,7,above_average,positive,2,-0.1,-0.1,0.1,-0.1,2025 defense allowed only 4713 yards with Anderson Hunter Stingley Bullock and Lassiter forming strong core; positive scripts likely.
