pos,tier,pos_rank,player,team,raw_adp,risk,upside,draft_tag,tag_reason,threshold_note,player_note,source
QB,T1 Elite QB Edge,1,Josh Allen,Buffalo Bills,30.4,2,5,MY_GUY,QB edge,OK near ADP,Rushing and TD equity keep him top QB even in 4-point passing TD.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
QB,T1 Elite QB Edge,2,Lamar Jackson,Baltimore Ravens,53.2,3,5,MY_GUY,QB edge,OK near ADP,Elite weekly ceiling; still best when you want to win QB points outright.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
QB,T1 Elite QB Edge,3,Joe Burrow,Cincinnati Bengals,62.9,3,5,NEUTRAL,6pt boost,,Gets a meaningful bump in 6-point passing TD leagues.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
QB,T1 Elite QB Edge,4,Jayden Daniels,Washington Commanders,64.4,3,5,MY_GUY,QB edge,OK near ADP,Rushing floor plus year-to-year pass growth upside.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
QB,T1 Elite QB Edge,5,Jalen Hurts,Philadelphia Eagles,68.9,3,5,MY_GUY,QB edge,OK near ADP,Goal-line rushing keeps him in elite QB tier despite passing-volume variance.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
QB,T2 Upside QB1,6,Caleb Williams,Chicago Bears,70.6,3,4,MY_GUY,Target,OK near ADP,Late QB1 tier; pair format/rushing/6pt passing TD fit.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
QB,T2 Upside QB1,7,Drake Maye,New England Patriots,70.9,3,4,MY_GUY,Target,OK near ADP,Late QB1 tier; pair format/rushing/6pt passing TD fit.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
QB,T2 Upside QB1,8,Dak Prescott,Dallas Cowboys,79,3,4,MY_GUY,Target,OK near ADP,Late QB1 tier; pair format/rushing/6pt passing TD fit.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
QB,T2 Upside QB1,9,Trevor Lawrence,Jacksonville Jaguars,83.9,3,4,MY_GUY,Target,OK near ADP,Late QB1 tier; pair format/rushing/6pt passing TD fit.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
QB,T2 Upside QB1,10,Justin Herbert,Los Angeles Chargers,87.1,3,4,NEUTRAL,6pt boost,,Better in 6-point passing TD scoring; less rushing insulation than top dual-threat QBs.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
QB,T3 Late QB1 Plateau,11,Jaxson Dart,New York Giants,88.4,4,4,WATCH,Rookie,Monitor news,Rookie/young QB: more matchup or 2QB value than 1QB priority.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
QB,T3 Late QB1 Plateau,12,Patrick Mahomes,Kansas City Chiefs,93.8,3,3,NEUTRAL,6pt boost,,"6-point passing TD format helps, but regular-season fantasy ceiling has trailed reputation.","Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
QB,T3 Late QB1 Plateau,13,Bo Nix,Denver Broncos,97.9,3,3,NEUTRAL,Fair,,Late QB1 tier; pair format/rushing/6pt passing TD fit.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
